Time [s],Channel 0,Channel 1
3.516605500,0,0
3.516607625,1,0
3.516608625,0,0
3.516610708,1,0
3.516611708,0,0
3.516613833,1,0
3.516614833,0,0
3.516615875,0,1
3.516616958,1,1
3.516617958,0,1
3.516619167,1,1
3.516620208,0,1
3.516622333,1,1
3.516623417,0,1
3.516624458,1,1
3.516625500,0,1
3.516626542,1,1
3.516627625,0,1
3.516628667,1,1
3.516629750,0,1
3.516630792,1,1
3.516631833,0,1
3.516631875,0,0
3.516632917,1,0
3.516633958,0,0
3.516634333,0,1
3.516635000,1,1
3.516636083,0,1
3.516637250,1,1
3.516638292,0,1
3.516639333,1,1
3.516640417,0,1
3.516641417,1,1
3.516642417,0,1
3.516643417,1,1
3.516644500,0,1
3.516645542,1,1
3.516646625,0,1
3.516647667,1,1
3.516648750,0,1
3.516649750,1,1
3.516650833,0,1
3.516651875,1,1
3.516652958,0,1
3.516653958,1,1
3.516655083,0,1
3.516656083,1,1
3.516657167,0,1
3.516658208,1,1
3.516659292,0,1
3.516660292,1,1
3.516661417,0,1
3.516662417,1,1
3.516663500,0,1
3.516664542,1,1
3.516665625,0,1
3.516666625,1,1
3.516667750,0,1
3.516668750,1,1
3.516669833,0,1
3.516670875,1,1
3.516671958,0,1
3.516672958,1,1
3.516674083,0,1
3.516675083,1,1
3.516676167,0,1
3.516677208,1,1
3.516678292,0,1
3.516679292,1,1
3.516680375,0,1
3.516681417,1,1
3.516682500,0,1
3.516683542,1,1
3.516684625,0,1
3.516685625,1,1
3.516686750,0,1
3.516687750,1,1
3.516688833,0,1
3.516689875,1,1
3.516690958,0,1
3.516691958,1,1
3.516693042,0,1
3.516694083,1,1
3.516695167,0,1
3.516696167,1,1
3.516697292,0,1
3.516698292,1,1
3.516699375,0,1
3.516700417,1,1
3.516701500,0,1
3.516702500,1,1
3.516703625,0,1
3.516704833,1,1
3.516705833,0,1
3.516706917,1,1
3.516707958,0,1
3.516710042,1,1
3.516711083,1,0
3.516712042,0,0
3.516714042,1,0
3.516715000,1,1
3.516718125,1,0
3.516719125,0,0
3.516721208,1,0
3.516722208,0,0
3.516724333,1,0
3.516725333,0,0
3.516726375,0,1
3.516727417,1,1
3.516728458,0,1
3.516729500,0,0
3.516730542,1,0
3.516731542,0,0
3.516733625,1,0
3.516734625,0,0
3.516736750,1,0
3.516737750,0,0
3.516738792,0,1
3.516739833,1,1
3.516740875,0,1
3.516741958,0,0
3.516742958,1,0
3.516743958,0,0
3.516746042,1,0
3.516747042,0,0
3.516749167,1,0
3.516750167,0,0
3.516752250,1,0
3.516753250,0,0
3.516755375,1,0
3.516756375,0,0
3.516758458,1,0
3.516759458,0,0
3.516761542,1,0
3.516762583,0,0
3.516764667,1,0
3.516765667,0,0
3.516767750,1,0
3.516768792,0,0
3.516770875,1,0
3.516771875,0,0
3.516773958,1,0
3.516774958,0,0
3.516777083,1,0
3.516778083,0,0
3.516780167,1,0
3.516781167,0,0
3.516783292,1,0
3.516784292,0,0
3.516786375,1,0
3.516787375,0,0
3.516789500,1,0
3.516790500,0,0
3.516792583,1,0
3.516793583,0,0
3.516795708,1,0
3.516796708,0,0
3.516798792,1,0
3.516799792,0,0
3.516801917,1,0
3.516802917,0,0
3.516805000,1,0
3.516806000,0,0
3.516808083,1,0
3.516809125,0,0
3.516811208,1,0
3.516812208,0,0
3.516814333,1,0
3.516815333,0,0
3.516817417,1,0
3.516818417,0,0
3.516820500,1,0
3.516821500,0,0
3.516823625,1,0
3.516824625,0,0
3.516826708,1,0
3.516827750,0,0
3.516829833,1,0
3.516830833,0,0
3.516832917,1,0
3.516833958,0,0
3.516836042,1,0
3.516837042,0,0
3.516839125,1,0
3.516840125,0,0
3.516842292,1,0
3.516843250,0,0
3.516844292,0,1
3.516845375,1,1
3.516846375,0,1
3.516847583,1,1
3.516848625,0,1
3.516850750,1,1
3.516851833,0,1
3.516852875,1,1
3.516853917,0,1
3.516854958,1,1
3.516856042,0,1
3.516857083,1,1
3.516858167,0,1
3.516859208,1,1
3.516860292,0,0
3.516861333,1,0
3.516862375,0,0
3.516862833,0,1
3.516863417,1,1
3.516864500,0,1
3.516865667,1,1
3.516866708,0,1
3.516867750,1,1
3.516868833,0,1
3.516869833,1,1
3.516870833,0,1
3.516871833,1,1
3.516872958,0,1
3.516873958,1,1
3.516875042,0,1
3.516876083,1,1
3.516877167,0,1
3.516878167,1,1
3.516879292,0,1
3.516880292,1,1
3.516881375,0,1
3.516882417,1,1
3.516883500,0,1
3.516884500,1,1
3.516885583,0,1
3.516886625,1,1
3.516887708,0,1
3.516888750,1,1
3.516889833,0,1
3.516890833,1,1
3.516891917,0,1
3.516892958,1,1
3.516894042,0,1
3.516895083,1,1
3.516896167,0,1
3.516897167,1,1
3.516898250,0,1
3.516899292,1,1
3.516900375,0,1
3.516901375,1,1
3.516902500,0,1
3.516903500,1,1
3.516904583,0,1
3.516905625,1,1
3.516906708,0,1
3.516907708,1,1
3.516908833,0,1
3.516909833,1,1
3.516910917,0,1
3.516911958,1,1
3.516913042,0,1
3.516914042,1,1
3.516915167,0,1
3.516916167,1,1
3.516917250,0,1
3.516918292,1,1
3.516919375,0,1
3.516920375,1,1
3.516921500,0,1
3.516922500,1,1
3.516923583,0,1
3.516924625,1,1
3.516925708,0,1
3.516926708,1,1
3.516927833,0,1
3.516928833,1,1
3.516929917,0,1
3.516930958,1,1
3.516932042,0,1
3.516933250,1,1
3.516934250,0,1
3.516935333,1,1
3.516936375,0,1
3.516938500,1,1
3.516939500,1,0
3.516940500,0,0
3.516942458,1,0
3.516943458,1,1
3.516946542,1,0
3.516947542,0,0
3.516949625,1,0
3.516950625,0,0
3.516952750,1,0
3.516953750,0,0
3.516954792,0,1
3.516955875,1,1
3.516956875,0,1
3.516957917,0,0
3.516958958,1,0
3.516959958,0,0
3.516962042,1,0
3.516963042,0,0
3.516965167,1,0
3.516966167,0,0
3.516967208,0,1
3.516968250,1,1
3.516969292,0,1
3.516970375,0,0
3.516971375,1,0
3.516972375,0,0
3.516974458,1,0
3.516975458,0,0
3.516977583,1,0
3.516978583,0,0
3.516980667,1,0
3.516981667,0,0
3.516983792,1,0
3.516984792,0,0
3.516986875,1,0
3.516987875,0,0
3.516990000,1,0
3.516991000,0,0
3.516993083,1,0
3.516994083,0,0
3.516996208,1,0
3.516997208,0,0
3.516999292,1,0
3.517000292,0,0
3.517002417,1,0
3.517003417,0,0
3.517005500,1,0
3.517006500,0,0
3.517008625,1,0
3.517009625,0,0
3.517011708,1,0
3.517012708,0,0
3.517014792,1,0
3.517015792,0,0
3.517017917,1,0
3.517018917,0,0
3.517021000,1,0
3.517022042,0,0
3.517024125,1,0
3.517025125,0,0
3.517027208,1,0
3.517028250,0,0
3.517030333,1,0
3.517031333,0,0
3.517033417,1,0
3.517034417,0,0
3.517036542,1,0
3.517037542,0,0
3.517039625,1,0
3.517040625,0,0
3.517042750,1,0
3.517043750,0,0
3.517045833,1,0
3.517046833,0,0
3.517048958,1,0
3.517049958,0,0
3.517052042,1,0
3.517053042,0,0
3.517055167,1,0
3.517056167,0,0
3.517058250,1,0
3.517059250,0,0
3.517061375,1,0
3.517062375,0,0
3.517064458,1,0
3.517065458,0,0
3.517067583,1,0
3.517068583,0,0
3.517070708,1,0
3.517071708,0,0
3.517072708,0,1
3.517073792,1,1
3.517074792,0,1
3.517076042,1,1
3.517077042,0,1
3.517079208,1,1
3.517080250,0,1
3.517081292,1,1
3.517082375,0,1
3.517083417,1,1
3.517084458,0,1
3.517085500,1,1
3.517086583,0,1
3.517087625,1,1
3.517088708,0,0
3.517089750,1,0
3.517090833,0,0
3.517091125,0,1
3.517091875,1,1
3.517092917,0,1
3.517094083,1,1
3.517095167,0,1
3.517096208,1,1
3.517097250,0,1
3.517098292,1,1
3.517099250,0,1
3.517100292,1,1
3.517101375,0,1
3.517102375,1,1
3.517103458,0,1
3.517104500,1,1
3.517105583,0,1
3.517106583,1,1
3.517107708,0,1
3.517108708,1,1
3.517109792,0,1
3.517110833,1,1
3.517111917,0,1
3.517112917,1,1
3.517114042,0,1
3.517115042,1,1
3.517116125,0,1
3.517117167,1,1
3.517118250,0,1
3.517119250,1,1
3.517120375,0,1
3.517121375,1,1
3.517122458,0,1
3.517123500,1,1
3.517124583,0,1
3.517125583,1,1
3.517126708,0,1
3.517127708,1,1
3.517128792,0,1
3.517129833,1,1
3.517130917,0,1
3.517131917,1,1
3.517133042,0,1
3.517134042,1,1
3.517135125,0,1
3.517136167,1,1
3.517137250,0,1
3.517138250,1,1
3.517139375,0,1
3.517140375,1,1
3.517141458,0,1
3.517142500,1,1
3.517143583,0,1
3.517144583,1,1
3.517145708,0,1
3.517146708,1,1
3.517147792,0,1
3.517148833,1,1
3.517149917,0,1
3.517150917,1,1
3.517152042,0,1
3.517153042,1,1
3.517154125,0,1
3.517155167,1,1
3.517156250,0,1
3.517157250,1,1
3.517158375,0,1
3.517159375,1,1
3.517160458,0,1
3.517161667,1,1
3.517162667,0,1
3.517163792,1,1
3.517164792,0,1
3.517166917,1,1
3.517167917,1,0
3.517168917,0,0
3.517170875,1,0
3.517171875,1,1
3.517175000,1,0
3.517175958,0,0
3.517178083,1,0
3.517179083,0,0
3.517181167,1,0
3.517182167,0,0
3.517183250,0,1
3.517184292,1,1
3.517185292,0,1
3.517186333,0,0
3.517187375,1,0
3.517188375,0,0
3.517190458,1,0
3.517191500,0,0
3.517193583,1,0
3.517194583,0,0
3.517195667,0,1
3.517196708,1,1
3.517197708,0,1
3.517198792,0,0
3.517199792,1,0
3.517200792,0,0
3.517202875,1,0
3.517203875,0,0
3.517206000,1,0
3.517207000,0,0
3.517209083,1,0
3.517210083,0,0
3.517212208,1,0
3.517213208,0,0
3.517215292,1,0
3.517216292,0,0
3.517218417,1,0
3.517219417,0,0
3.517221500,1,0
3.517222500,0,0
3.517224625,1,0
3.517225625,0,0
3.517227708,1,0
3.517228708,0,0
3.517230833,1,0
3.517231833,0,0
3.517233917,1,0
3.517234917,0,0
3.517237042,1,0
3.517238042,0,0
3.517240125,1,0
3.517241125,0,0
3.517243250,1,0
3.517244250,0,0
3.517246333,1,0
3.517247333,0,0
3.517249458,1,0
3.517250458,0,0
3.517252542,1,0
3.517253542,0,0
3.517255667,1,0
3.517256667,0,0
3.517258750,1,0
3.517259750,0,0
3.517261875,1,0
3.517262875,0,0
3.517264958,1,0
3.517265958,0,0
3.517268083,1,0
3.517269083,0,0
3.517271167,1,0
3.517272167,0,0
3.517274250,1,0
3.517275250,0,0
3.517277375,1,0
3.517278375,0,0
3.517280458,1,0
3.517281458,0,0
3.517283583,1,0
3.517284583,0,0
3.517286667,1,0
3.517287667,0,0
3.517289792,1,0
3.517290792,0,0
3.517292875,1,0
3.517293875,0,0
3.517296000,1,0
3.517297000,0,0
3.517299125,1,0
3.517300125,0,0
3.517301125,0,1
3.517302208,1,1
3.517303208,0,1
3.517304458,1,1
3.517305458,0,1
3.517307625,1,1
3.517308667,0,1
3.517309708,1,1
3.517310792,0,1
3.517311792,1,1
3.517312875,0,1
3.517313917,1,1
3.517315000,0,1
3.517316042,1,1
3.517317125,0,0
3.517318167,1,0
3.517319250,0,0
3.517319542,0,1
3.517320250,1,1
3.517321333,0,1
3.517322500,1,1
3.517323583,0,1
3.517324625,1,1
3.517325667,0,1
3.517326708,1,1
3.517327667,0,1
3.517328708,1,1
3.517329792,0,1
3.517330792,1,1
3.517331875,0,1
3.517332917,1,1
3.517334000,0,1
3.517335042,1,1
3.517336125,0,1
3.517337125,1,1
3.517338208,0,1
3.517339250,1,1
3.517340333,0,1
3.517341375,1,1
3.517342458,0,1
3.517343458,1,1
3.517344542,0,1
3.517345583,1,1
3.517346667,0,1
3.517347708,1,1
3.517348792,0,1
3.517349792,1,1
3.517350875,0,1
3.517351917,1,1
3.517353000,0,1
3.517354000,1,1
3.517355125,0,1
3.517356125,1,1
3.517357208,0,1
3.517358250,1,1
3.517359333,0,1
3.517360333,1,1
3.517361458,0,1
3.517362458,1,1
3.517363542,0,1
3.517364583,1,1
3.517365667,0,1
3.517366667,1,1
3.517367792,0,1
3.517368792,1,1
3.517369875,0,1
3.517370917,1,1
3.517372000,0,1
3.517373000,1,1
3.517374083,0,1
3.517375125,1,1
3.517376208,0,1
3.517377250,1,1
3.517378333,0,1
3.517379333,1,1
3.517380417,0,1
3.517381458,1,1
3.517382542,0,1
3.517383542,1,1
3.517384667,0,1
3.517385667,1,1
3.517386750,0,1
3.517387792,1,1
3.517388875,0,1
3.517390083,1,1
3.517391083,0,1
3.517392208,1,1
3.517393208,0,1
3.517395333,1,1
3.517396333,1,0
3.517397333,0,0
3.517399292,1,0
3.517400292,1,1
3.517403375,1,0
3.517404375,0,0
3.517406458,1,0
3.517407458,0,0
3.517409583,1,0
3.517410583,0,0
3.517411625,0,1
3.517412667,1,1
3.517413708,0,1
3.517414750,0,0
3.517415792,1,0
3.517416792,0,0
3.517418875,1,0
3.517419875,0,0
3.517422000,1,0
3.517423000,0,0
3.517424042,0,1
3.517425083,1,1
3.517426125,0,1
3.517427208,0,0
3.517428167,1,0
3.517429208,0,0
3.517431292,1,0
3.517432292,0,0
3.517434375,1,0
3.517435375,0,0
3.517437500,1,0
3.517438500,0,0
3.517440583,1,0
3.517441583,0,0
3.517443708,1,0
3.517444708,0,0
3.517446792,1,0
3.517447792,0,0
3.517449917,1,0
3.517450917,0,0
3.517453000,1,0
3.517454000,0,0
3.517456125,1,0
3.517457125,0,0
3.517459208,1,0
3.517460208,0,0
3.517462292,1,0
3.517463333,0,0
3.517465417,1,0
3.517466417,0,0
3.517468500,1,0
3.517469542,0,0
3.517471625,1,0
3.517472625,0,0
3.517474708,1,0
3.517475708,0,0
3.517477833,1,0
3.517478833,0,0
3.517480917,1,0
3.517481917,0,0
3.517484042,1,0
3.517485042,0,0
3.517487125,1,0
3.517488125,0,0
3.517490250,1,0
3.517491250,0,0
3.517493333,1,0
3.517494333,0,0
3.517496458,1,0
3.517497458,0,0
3.517499542,1,0
3.517500542,0,0
3.517502667,1,0
3.517503667,0,0
3.517505750,1,0
3.517506750,0,0
3.517508875,1,0
3.517509875,0,0
3.517511958,1,0
3.517512958,0,0
3.517515083,1,0
3.517516083,0,0
3.517518167,1,0
3.517519167,0,0
3.517521292,1,0
3.517522292,0,0
3.517524375,1,0
3.517525375,0,0
3.517527500,1,0
3.517528500,0,0
3.517529500,0,1
3.517530625,1,1
3.517531625,0,1
3.517532833,1,1
3.517533833,0,1
3.517536000,1,1
3.517537083,0,1
3.517538083,1,1
3.517539167,0,1
3.517540208,1,1
3.517541250,0,1
3.517542292,1,1
3.517543417,0,1
3.517544458,1,1
3.517545500,0,0
3.517546542,1,0
3.517547625,0,0
3.517548000,0,1
3.517548667,1,1
3.517549708,0,1
3.517550875,1,1
3.517551958,0,1
3.517553000,1,1
3.517554042,0,1
3.517555083,1,1
3.517556042,0,1
3.517557083,1,1
3.517558167,0,1
3.517559208,1,1
3.517560292,0,1
3.517561292,1,1
3.517562375,0,1
3.517563417,1,1
3.517564500,0,1
3.517565500,1,1
3.517566625,0,1
3.517567625,1,1
3.517568708,0,1
3.517569750,1,1
3.517570833,0,1
3.517571833,1,1
3.517572958,0,1
3.517573958,1,1
3.517575042,0,1
3.517576083,1,1
3.517577167,0,1
3.517578167,1,1
3.517579292,0,1
3.517580292,1,1
